arm,target,split_seed,criterion,layer,probe,hg_kind,r2,within_r2,concordance,top1,regret_norm_mean,kendall_tau,val_score,n_params,date,phase,output_path
MDLM_anc,A_pertok,0,within_r2,6,P2_bilinear_r1,hg,0.5042745945833227,0.5359544458363088,0.776,0.4266666666666667,0.16267769991369443,0.5519999999999999,0.5458216183193907,616,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_kron_d16,hg,0.5453100299592957,0.5693363336935601,0.7795555555555556,0.42333333333333334,0.15420694109550379,0.5591111111111111,0.5590597021085413,389,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_kroneOnly_d16,hg,0.5260915522917322,0.5638469548550136,0.7797777777777778,0.42,0.15635655645648383,0.5595555555555556,0.5540928270814938,357,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_additive_d16,hg,0.5597771258035088,0.5829421575649746,0.7906666666666666,0.465,0.14247964498767823,0.5813333333333333,0.5715394267207138,133,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_kron_wc_d16,hg,,0.5592573144220245,0.7846666666666666,0.42,0.1561562904936404,0.5693333333333334,0.5501836847622057,389,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_additive_wc_d16,hg,,0.566283502207412,0.7895555555555556,0.44166666666666665,0.14995241494982053,0.579111111111111,0.5568452120352965,133,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_kron_d32,hg,0.5322594056893839,0.5625696817020794,0.7775555555555556,0.41333333333333333,0.15988119604948295,0.5551111111111111,0.5568171843473108,1189,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_kroneOnly_d32,hg,0.5227518862799627,0.561965477671843,0.7775555555555556,0.4116666666666667,0.1633330092843843,0.5551111111111111,0.5541976277578846,1125,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_additive_d32,hg,0.5642985156463811,0.5835190007054489,0.7912222222222223,0.47333333333333333,0.1413184070729649,0.5824444444444445,0.571362708758733,165,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
MDLM_anc,A_pertok,0,within_r2,6,P2k_kron_wc_d32,hg,,0.5570967676139552,0.7821111111111111,0.41333333333333333,0.16155733010836784,0.5642222222222222,0.550642992299094,1189,2026-08-31,R1_exploratory,rescue_audit/results/R1deep_MDLM_anc_A_pertok_L6.json
