tag,group,value,n_rows,n_docs,n_states,A_task_mean,A_task_std,A_task_nonzero_frac,A_task_positive_frac,A_task_negative_frac,Q_reward_mean,V_reward_mean,A_pertok_mean,mask_ratio_mean
taskE_svamp,step,63,24,4,4,0.020833333333333332,0.08589803386703461,0.16666666666666666,0.125,0.041666666666666664,0.6145833333333334,0.59375,-0.005527658329801473,0.40700577944517136
taskE_svamp,step,64,432,72,72,0.0,0.0,0.0,0.0,0.0,0.875,0.875,0.00016017239765275804,0.4219084079894755
taskE_svamp,step,88,348,58,58,-0.004310344827586207,0.13692837798492408,0.05172413793103448,0.028735632183908046,0.022988505747126436,0.6443965517241379,0.6487068965517241,-0.008632408706867817,0.305822740341055
taskE_svamp,step,89,102,17,17,-0.023284313725490197,0.19391034806650764,0.14705882352941177,0.049019607843137254,0.09803921568627451,0.5428921568627451,0.5661764705882353,-0.007213587203839815,0.29638193635379567
taskE_svamp,step,90,66,11,11,-0.007575757575757576,0.17254609051409656,0.19696969696969696,0.12121212121212122,0.07575757575757576,0.7765151515151515,0.7840909090909091,-0.014663581567552255,0.2957226200537248
taskE_svamp,step,91,24,4,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0057582519204212685,0.2997004985809326
taskE_svamp,step,92,12,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012712195150925254,0.29008547961711884
taskE_svamp,step,93,18,3,3,-0.05555555555555555,0.2290614236454256,0.05555555555555555,0.0,0.05555555555555555,0.9444444444444444,1.0,-0.010443215423619121,0.27972882986068726
taskE_svamp,step,94,36,6,6,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,-0.0015620633567263236,0.2796410322189331
taskE_svamp,step,95,30,5,5,0.1,0.274620950888068,0.16666666666666666,0.13333333333333333,0.03333333333333333,0.525,0.425,0.01461347487348045,0.2767336368560791
taskE_svamp,step,96,564,94,94,0.0,0.0,0.0,0.0,0.0,0.8617021276595744,0.8617021276595744,5.1528619972209555e-05,0.27954642633174326
taskE_svamp,step,120,228,38,38,-0.0043859649122807015,0.23410537096635994,0.07894736842105263,0.039473684210526314,0.039473684210526314,0.40350877192982454,0.40789473684210525,-0.019184489474740298,0.16873117261811307
taskE_svamp,step,121,36,6,6,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,-0.018719953620449006,0.1631118804216385
taskE_svamp,step,122,12,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011358122394184988,0.16529517620801926
taskE_svamp,step,123,36,6,6,-0.027777777777777776,0.16433554953054486,0.027777777777777776,0.0,0.027777777777777776,0.4722222222222222,0.5,-0.0009478647914167797,0.15328883131345114
taskE_svamp,step,124,42,7,7,0.01488095238095238,0.04048056699028406,0.11904761904761904,0.11904761904761904,0.0,0.5684523809523809,0.5535714285714286,-0.014803318810750386,0.1496749371290207
taskE_svamp,step,125,24,4,4,0.0,0.0,0.0,0.0,0.0,0.75,0.75,-0.001991529905656838,0.14370427280664444
taskE_svamp,step,126,12,2,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-0.003528275531853827,0.14625345915555954
taskE_svamp,step,127,6,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.035823192486228e-06,0.13924050331115723
taskE_svamp,step,128,804,134,134,0.0,0.0,0.0,0.0,0.0,0.8805970149253731,0.8805970149253731,0.00014855449472493792,0.13903786503334545
